Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2006-12-15,187,262,44.0,44.0,,0.63,KG,Retail
2006-12-15,184,51,13.34,13.34,,0.19,KG,Wholesale
2006-12-15,184,148,1122.22,22.4444,,16.14,50 KG,Wholesale
2006-12-15,184,65,1877.5,20.86111111111111,,26.99,90 KG,Wholesale
2006-12-15,184,96,140.0,,140.0,2.01,L,Retail
2006-12-15,184,50,31.98,31.98,,0.46,KG,Wholesale
2006-12-15,184,262,3078.0,34.2,,44.26,90 KG,Wholesale
2006-12-15,189,67,28.0,28.0,,0.4,KG,Retail
2006-12-15,186,51,15.25,15.25,,0.22,KG,Wholesale
2006-12-15,186,148,796.1,15.922,,11.45,50 KG,Wholesale
2006-12-15,186,65,1400.0,15.555555555555555,,20.13,90 KG,Wholesale
2006-12-15,186,50,34.71,34.71,,0.5,KG,Wholesale
2006-12-15,186,262,3467.0,38.522222222222226,,49.85,90 KG,Wholesale
2006-12-15,185,51,11.27,11.27,,0.16,KG,Wholesale
2006-12-15,185,148,555.55,11.110999999999999,,7.99,50 KG,Wholesale
2006-12-15,185,50,40.76,40.76,,0.59,KG,Wholesale
2007-01-15,191,67,1061.9,11.79888888888889,,15.26,90 KG,Wholesale
2007-01-15,191,50,33.17,33.17,,0.48,KG,Wholesale
2007-01-15,187,262,37.0,37.0,,0.53,KG,Retail
2007-01-15,190,67,16.0,16.0,,0.23,KG,Retail
2007-01-15,184,55,27.0,67.5,,0.39,400 G,Retail
2007-01-15,184,67,1337.5,14.86111111111111,,19.22,90 KG,Wholesale
2007-01-15,184,148,1402.77,28.0554,,20.15,50 KG,Wholesale
2007-01-15,184,65,1677.27,18.636333333333333,,24.1,90 KG,Wholesale
2007-01-15,184,472,20.0,,40.0,0.29,500 ML,Retail
2007-01-15,184,96,130.0,,130.0,1.87,L,Retail
2007-01-15,184,50,33.38,33.38,,0.48,KG,Wholesale
2007-01-15,184,262,3107.0,34.522222222222226,,44.64,90 KG,Wholesale
2007-01-15,186,67,1400.0,15.555555555555555,,20.11,90 KG,Wholesale
2007-01-15,186,148,850.42,17.008399999999998,,12.22,50 KG,Wholesale
2007-01-15,186,65,1400.0,15.555555555555555,,20.11,90 KG,Wholesale
2007-01-15,186,50,38.2,38.2,,0.55,KG,Wholesale
2007-01-15,186,262,3300.0,36.666666666666664,,47.41,90 KG,Wholesale
2007-01-15,185,67,947.5,10.527777777777779,,13.61,90 KG,Wholesale
2007-01-15,185,50,43.47,43.47,,0.62,KG,Wholesale
2007-02-15,191,51,12.24,12.24,,0.18,KG,Wholesale
2007-02-15,191,67,1062.5,11.805555555555555,,15.41,90 KG,Wholesale
2007-02-15,191,50,33.36,33.36,,0.48,KG,Wholesale
2007-02-15,191,262,3052.5,33.916666666666664,,44.27,90 KG,Wholesale
2007-02-15,190,67,16.0,16.0,,0.23,KG,Retail
2007-02-15,184,51,14.69,14.69,,0.21,KG,Wholesale
2007-02-15,184,67,1322.5,14.694444444444445,,19.18,90 KG,Wholesale
2007-02-15,184,148,1544.44,30.8888,,22.4,50 KG,Wholesale
2007-02-15,184,472,20.0,,40.0,0.29,500 ML,Retail
2007-02-15,184,96,135.0,,135.0,1.96,L,Retail
2007-02-15,184,50,31.35,31.35,,0.45,KG,Wholesale
2007-02-15,184,262,2810.0,31.22222222222222,,40.75,90 KG,Wholesale
2007-02-15,189,67,23.0,23.0,,0.33,KG,Retail
2007-02-15,186,51,15.45,15.45,,0.22,KG,Wholesale
2007-02-15,186,67,1400.0,15.555555555555555,,20.3,90 KG,Wholesale
2007-02-15,186,148,807.18,16.1436,,11.71,50 KG,Wholesale
2007-02-15,186,65,2510.0,27.88888888888889,,36.4,90 KG,Wholesale
2007-02-15,186,50,34.48,34.48,,0.5,KG,Wholesale
2007-02-15,186,262,3170.0,35.22222222222222,,45.98,90 KG,Wholesale
2007-02-15,185,51,10.43,10.43,,0.15,KG,Wholesale
2007-02-15,185,67,944.21,10.491222222222223,,13.69,90 KG,Wholesale
2007-02-15,185,50,46.45,46.45,,0.67,KG,Wholesale
2007-02-15,185,262,2784.0,30.933333333333334,,40.38,90 KG,Wholesale
2007-03-15,191,51,11.43,11.43,,0.16,KG,Wholesale
2007-03-15,191,67,1035.42,11.504666666666667,,14.92,90 KG,Wholesale
2007-03-15,191,50,33.49,33.49,,0.48,KG,Wholesale
2007-03-15,187,67,8.0,8.0,,0.12,KG,Retail
2007-03-15,187,262,23.0,23.0,,0.33,KG,Retail
2007-03-15,190,67,14.0,14.0,,0.2,KG,Retail
2007-03-15,184,55,27.0,67.5,,0.39,400 G,Retail
2007-03-15,184,51,13.27,13.27,,0.19,KG,Wholesale
2007-03-15,184,148,1636.11,32.7222,,23.58,50 KG,Wholesale
2007-03-15,184,65,1724.0,19.155555555555555,,24.84,90 KG,Wholesale
2007-03-15,184,472,20.0,,40.0,0.29,500 ML,Retail
2007-03-15,184,96,135.0,,135.0,1.95,L,Retail
2007-03-15,184,50,33.96,33.96,,0.49,KG,Wholesale
2007-03-15,184,262,3056.0,33.955555555555556,,44.03,90 KG,Wholesale
2007-03-15,189,67,22.0,22.0,,0.32,KG,Retail
2007-03-15,186,51,15.03,15.03,,0.22,KG,Wholesale
2007-03-15,186,67,1384.35,15.381666666666666,,19.95,90 KG,Wholesale
2007-03-15,186,50,38.56,38.56,,0.56,KG,Wholesale
2007-03-15,185,67,1027.5,11.416666666666666,,14.81,90 KG,Wholesale
2007-03-15,185,148,645.82,12.916400000000001,,9.31,50 KG,Wholesale
2007-03-15,185,65,1208.33,13.425888888888888,,17.41,90 KG,Wholesale
2007-03-15,185,50,42.18,42.18,,0.61,KG,Wholesale
2007-03-15,185,262,2729.0,30.322222222222223,,39.32,90 KG,Wholesale
2007-04-15,191,51,11.69,11.69,,0.17,KG,Wholesale
2007-04-15,191,50,33.89,33.89,,0.49,KG,Wholesale
2007-04-15,191,262,3050.0,33.888888888888886,,44.51,90 KG,Wholesale
2007-04-15,187,67,8.0,8.0,,0.12,KG,Retail
2007-04-15,190,67,12.0,12.0,,0.18,KG,Retail
2007-04-15,184,51,12.71,12.71,,0.19,KG,Wholesale
2007-04-15,184,67,1177.78,13.086444444444444,,17.19,90 KG,Wholesale
2007-04-15,184,65,1721.05,19.122777777777777,,25.12,90 KG,Wholesale
2007-04-15,184,96,130.0,,130.0,1.9,L,Retail
2007-04-15,184,50,32.29,32.29,,0.47,KG,Wholesale
2007-04-15,184,262,3016.0,33.51111111111111,,44.02,90 KG,Wholesale
